City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Klaksvík,70,FO,1600183155,76,62.23,-6.59,51.8,3.36
Bom Jesus,66,BR,1600183156,19,-9.07,-44.36,97.07,8.9
Turan,20,VN,1600183156,70,16.07,108.22,86.0,2.24
Kiruna,80,SE,1600183156,66,67.86,20.23,48.2,5.82
Mahébourg,75,MU,1600183156,72,-20.41,57.7,66.2,11.41
Fairbanks,90,US,1600182977,81,64.84,-147.72,48.2,8.05
Bredasdorp,63,ZA,1600183157,48,-34.53,20.04,60.8,8.05
Ilulissat,75,GL,1600183157,42,69.22,-51.1,46.4,17.22
Naze,75,JP,1600183157,88,28.37,129.48,80.6,4.7
Carnarvon,0,AU,1600183157,100,-24.87,113.63,69.8,13.87
Kiyasovo,38,RU,1600183158,91,56.35,53.12,46.0,3.0
Baykit,100,RU,1600183158,79,61.67,96.37,49.62,3.0
Harper,55,LR,1600183158,80,4.38,-7.72,78.49,13.18
São Lourenço do Sul,100,BR,1600183158,63,-31.37,-51.98,59.52,12.48
Saskylakh,26,RU,1600183159,83,71.92,114.08,45.16,5.26
Great Yarmouth,27,GB,1600183159,67,52.61,1.73,79.0,5.99
Manbij,0,SY,1600183159,18,36.53,37.95,91.4,8.41
Haines Junction,76,CA,1600183159,82,60.75,-137.51,35.17,0.43
Kumul,100,CN,1600183160,20,42.8,93.45,69.64,7.67
Kangaatsiaq,75,GL,1600183160,77,68.31,-53.46,37.24,23.31
Tuktoyaktuk,90,CA,1600183160,92,69.45,-133.04,28.4,9.17
Chui,47,UY,1600183160,61,-33.7,-53.46,56.71,7.85
Arua,15,UG,1600183160,81,3.02,30.91,75.2,3.47
Mafinga,19,TZ,1600183161,24,-7.25,35.07,88.56,10.22
Vung Tau,72,VN,1600183161,78,10.35,107.08,82.56,10.38
Sakakah,0,SA,1600183161,7,29.97,40.21,105.8,4.7
Shimoda,50,JP,1600183161,94,34.67,138.95,69.01,3.29
Upernavik,0,GL,1600183162,79,72.79,-56.15,26.83,9.53
Barranca,46,PE,1600183162,69,-10.75,-77.77,65.75,7.54
Divnomorskoye,0,RU,1600183162,49,44.5,38.14,75.27,9.86
Onda,7,ES,1600183162,63,39.97,-0.25,82.0,3.0
Constitución,99,CL,1600183160,75,-35.33,-72.42,56.44,6.71
Lamu,40,KE,1600183163,78,-2.27,40.9,78.8,6.93
Jalu,0,LY,1600183163,14,29.03,21.55,102.7,7.56
Kahului,1,US,1600183024,73,20.89,-156.47,73.0,4.7
Liverpool,100,GB,1600183142,53,53.41,-2.98,77.0,11.41
Port Augusta,0,AU,1600183163,81,-32.5,137.77,54.0,3.36
Mar del Plata,0,AR,1600183164,41,-38.0,-57.56,59.0,23.04
Taber,75,CA,1600182904,93,49.82,-112.15,46.0,5.82
Fundão,75,BR,1600183164,69,-19.93,-40.4,80.6,13.87
Richards Bay,71,ZA,1600183164,67,-28.78,32.04,67.33,8.16
Saldanha,0,ZA,1600183165,44,-33.01,17.94,59.0,10.29
Caucayá,97,CO,1600183165,94,-0.19,-74.78,75.34,2.1
Half Moon Bay,90,US,1600183165,82,37.46,-122.43,62.6,9.17
Havøysund,75,NO,1600183165,87,71.0,24.66,48.2,11.41
Cookeville,1,US,1600182800,69,36.16,-85.5,75.2,4.7
Saint George,1,US,1600183166,19,37.1,-113.58,69.8,3.36
Arraial do Cabo,40,BR,1600183166,83,-22.97,-42.03,77.0,9.17
Longyearbyen,75,SJ,1600183166,69,78.22,15.64,35.6,0.92
Esperance,90,AU,1600183166,100,-33.87,121.9,55.4,4.7
Meulaboh,99,ID,1600183167,83,4.14,96.13,78.42,3.65
Ostrovnoy,100,RU,1600183167,79,68.05,39.51,45.12,17.27
Aktau,0,KZ,1600183167,28,43.65,51.2,69.8,11.18
Vilyuysk,51,RU,1600183167,95,63.76,121.62,44.29,3.91
Māngrol,93,IN,1600183025,80,21.12,70.12,81.91,8.01
Alofi,98,NU,1600183168,94,-19.06,-169.92,71.6,9.17
Tasiilaq,90,GL,1600183168,95,65.61,-37.64,37.4,24.16
Lavrentiya,100,RU,1600183168,96,65.58,-171.0,44.17,15.48
Edd,0,ER,1600183168,63,13.93,41.69,91.13,12.84
Ebebiyin,51,GQ,1600183169,89,2.15,11.34,77.45,5.97
Pisco,20,PE,1600183169,82,-13.7,-76.22,64.99,4.7
Casablanca,80,MA,1600183100,65,33.59,-7.62,82.4,11.41
San Jose,90,US,1600183083,77,37.34,-121.89,62.6,1.41
Hilo,1,US,1600183169,78,19.73,-155.09,71.6,5.82
Rača,20,RS,1600183169,39,44.23,20.98,84.2,6.93
Fort Walton Beach,90,US,1600183170,94,30.41,-86.62,77.0,11.41
Östersund,90,SE,1600183170,81,63.18,14.64,50.0,5.82
Smithers,5,CA,1600182928,100,54.78,-127.17,35.6,2.24
Tarakan,100,ID,1600183174,77,3.3,117.63,80.2,1.16
Pevek,94,RU,1600183174,86,69.7,170.31,40.64,6.46
Alice Springs,90,AU,1600183174,27,-23.7,133.88,73.4,5.82
Laguna,1,US,1600183023,87,38.42,-121.42,61.0,3.47
Indramayu,8,ID,1600183175,68,-6.33,108.32,81.99,3.0
Kyustendil,0,BG,1600183175,33,42.28,22.69,86.0,1.99
Tutayev,40,RU,1600183175,58,57.89,39.54,55.4,13.42
El Alto,59,PE,1600183175,72,-4.27,-81.21,68.0,16.11
Eyl,14,SO,1600183176,72,7.98,49.82,80.56,28.52
General Roca,100,AR,1600183176,47,-39.03,-67.58,57.2,6.93
Talnakh,100,RU,1600183176,81,69.49,88.4,53.6,11.18
Karatuzskoye,0,RU,1600183176,83,53.61,92.87,47.66,0.85
Cabo San Lucas,5,MX,1600183176,74,22.89,-109.91,84.99,11.41
San Patricio,75,MX,1600183177,69,19.22,-104.7,82.4,11.41
Monção,40,PT,1600183177,60,42.08,-8.48,77.0,10.29
El Dorado,1,US,1600182908,88,33.21,-92.67,75.0,8.05
Olafsvik,56,IS,1600183177,77,64.89,-23.71,45.27,13.4
Jensen Beach,40,US,1600183178,70,27.25,-80.23,88.0,10.29
Mandurah,39,AU,1600183178,80,-32.55,115.7,62.01,1.99
Corinth,24,GR,1600183178,47,37.94,22.96,86.0,1.99
Port Shepstone,100,ZA,1600183178,75,-30.74,30.45,61.25,4.0
Pangnirtung,20,CA,1600183178,48,66.15,-65.71,41.0,5.82
Giohar,29,SO,1600183179,66,2.78,45.5,80.92,18.03
Port Blair,100,IN,1600183179,78,11.67,92.75,82.02,11.1
Port Hardy,90,CA,1600183179,82,50.7,-127.42,59.0,12.75
Santa Maria do Suaçuí,0,BR,1600183179,28,-18.19,-42.41,85.73,7.65
La Rochelle,100,FR,1600183094,78,46.17,-1.15,73.4,6.93
Dongsheng,0,CN,1600183180,47,39.82,109.98,49.93,12.41
Faya,20,SA,1600183180,64,18.39,42.45,75.2,13.87
Mackay,75,AU,1600182901,78,-21.15,149.2,71.6,17.22
Ariquemes,0,BR,1600183180,12,-9.91,-63.04,104.2,4.52
Moerai,0,PF,1600183181,76,-22.43,-151.33,69.62,16.75
Aripuanã,69,BR,1600183181,12,-9.17,-60.63,104.23,5.32
Dawlatabad,0,AF,1600183181,22,36.41,64.91,70.48,5.57
Yartsevo,86,RU,1600183181,92,55.07,32.7,60.35,5.99
Porto-Novo,40,BJ,1600183006,88,6.5,2.6,73.4,10.29
Atikokan,97,CA,1600183182,74,48.76,-91.62,60.06,4.63
Podgornoye,75,RU,1600183182,87,51.73,39.15,60.8,8.95
Krutikha,47,RU,1600183182,62,53.96,81.21,58.3,8.5
Avera,90,US,1600183183,100,33.19,-82.53,71.6,9.17
Yar-Sale,100,RU,1600183183,91,66.83,70.83,51.58,11.72
Santa Isabel,90,BR,1600183183,77,-23.32,-46.22,69.8,9.17
Artyom,20,AZ,1600183183,44,40.47,50.33,78.8,6.93
Belyy Yar,22,RU,1600183184,81,53.6,91.39,46.4,2.24
Mocorito,12,MX,1600183184,80,25.48,-107.92,86.0,3.0
Luba,75,GQ,1600183184,100,3.46,8.55,77.0,11.41
Chingola,62,ZM,1600183184,25,-12.53,27.88,82.18,0.74
New Norfolk,100,AU,1600183185,65,-42.78,147.06,51.01,4.0
Bethanien,0,NA,1600183185,14,-26.5,17.16,75.72,12.21
Al Bardīyah,0,LY,1600183185,62,31.76,25.09,81.14,13.38
Seoul,75,KR,1600182909,83,37.57,126.98,71.6,2.77
Kitimat,20,CA,1600182912,76,54.05,-128.65,50.0,20.8
Anapskaya,0,RU,1600183186,40,44.89,37.38,73.4,15.66
Mbandaka,31,CD,1600183186,75,0.05,18.26,81.82,4.9
Coquimbo,90,CL,1600183186,81,-29.95,-71.34,53.6,4.7
Homer,1,US,1600183186,66,59.64,-151.55,55.0,9.62
Kruisfontein,100,ZA,1600183187,72,-34.0,24.73,60.01,5.99
Dikson,100,RU,1600183187,83,73.51,80.55,45.16,22.41
Ankang,45,CN,1600183187,77,32.68,109.02,71.26,1.63
Honiara,75,SB,1600183188,94,-9.43,159.95,77.0,2.24
Inhambane,40,MZ,1600183188,83,-23.86,35.38,80.01,14.99
São João do Piauí,77,BR,1600183188,29,-8.36,-42.25,92.71,11.01
Guozhen,8,CN,1600183188,51,34.37,107.36,67.82,1.86
Tortosa,0,ES,1600183189,60,40.81,0.52,81.0,1.01
Hamilton,1,US,1600183087,72,39.18,-84.53,64.99,4.7
Itarema,66,BR,1600183189,49,-2.92,-39.92,87.35,20.11
Touros,40,BR,1600183189,65,-5.2,-35.46,82.4,16.11
Ancud,100,CL,1600183189,95,-41.87,-73.82,53.01,5.99
Hofn,0,IS,1600183190,60,64.25,-15.21,51.19,6.11
Domoni,28,KM,1600183190,74,-12.26,44.53,75.69,1.83
Taywarah,0,AF,1600183190,41,33.35,64.42,48.22,2.66
Gizo Government Station,100,SB,1600183190,84,-8.1,156.84,79.03,18.25
Dawei,100,MM,1600183190,87,14.08,98.2,78.26,2.62
Karratha,72,AU,1600183191,63,-20.74,116.85,75.43,4.03
Yulara,0,AU,1600183191,26,-25.24,130.99,71.6,5.82
Katsuura,75,JP,1600183191,88,35.13,140.3,75.2,9.17
Teknāf,100,BD,1600183191,86,20.86,92.31,81.9,4.72
Puerto Ayacucho,20,VE,1600183192,70,5.66,-67.62,84.2,3.36
Hirara,69,JP,1600183192,78,24.8,125.28,84.11,10.63
Saint-Pierre,90,RE,1600183022,64,-21.34,55.48,69.8,12.75
Lake City,1,US,1600183192,88,30.19,-82.64,81.0,5.82
São Filipe,41,CV,1600183192,80,14.9,-24.5,80.31,9.48
Indianola,20,US,1600183193,77,41.36,-93.56,68.0,11.41
Waingapu,99,ID,1600183193,81,-9.66,120.26,75.15,10.49
Zhigansk,0,RU,1600183193,89,66.77,123.37,43.45,9.04
Natal,75,BR,1600183194,62,-5.79,-35.21,84.2,20.8
Inta,100,RU,1600183194,88,66.03,60.17,44.71,2.73
Loukhi,68,RU,1600183194,81,66.08,33.04,49.37,5.37
Atlantic City,1,US,1600183194,59,39.36,-74.42,64.0,9.17
Kpandu,97,GH,1600183195,73,7.0,0.29,81.37,3.56
Vardø,40,NO,1600183195,76,70.37,31.11,48.2,11.41
Riyadh,75,SA,1600183134,10,24.69,46.72,104.0,6.93
Tucumcari,1,US,1600183195,68,35.17,-103.72,64.4,5.82
Kaduna,55,NG,1600183195,66,10.52,7.44,80.64,5.12
Dzaoudzi,17,YT,1600183196,69,-12.79,45.27,78.8,6.93
Airai,37,TL,1600183196,91,-8.93,125.41,54.5,3.47
Neuquén,100,AR,1600183156,47,-38.95,-68.06,57.2,6.93
Cape Canaveral,20,US,1600183196,74,28.41,-80.6,88.0,8.05
Port Macquarie,88,AU,1600182912,95,-31.43,152.92,55.99,8.23
Lagoa,44,PT,1600183197,61,39.05,-27.98,65.61,14.9
Hong Kong,98,HK,1600182903,83,22.29,114.16,82.99,10.0
Mineral del Monte,40,MX,1600183197,89,20.13,-98.67,54.55,3.04
Kupang,10,ID,1600182986,78,-10.17,123.58,74.73,10.56
Kiama,2,AU,1600183198,83,-34.68,150.87,61.0,5.99
Kamenka,41,RU,1600183198,46,51.32,42.77,66.0,9.53
Vila Velha,75,BR,1600183198,69,-20.33,-40.29,80.6,13.87
Vogan,40,TG,1600183198,88,6.33,1.53,73.4,4.7
Lichinga,75,MZ,1600183198,34,-13.31,35.24,82.0,13.87
Vila,91,PT,1600183199,61,42.03,-8.16,75.99,10.0
Kholm,0,RU,1600183199,65,59.27,32.85,55.45,4.52
Dustlik,0,UZ,1600183199,21,40.52,68.04,72.82,5.95
Nobres,1,BR,1600183166,15,-14.72,-56.33,101.55,4.59
Wanaka,28,NZ,1600183200,77,-44.7,169.15,36.0,1.99
Shar,17,KZ,1600183200,42,49.59,81.05,65.57,17.92
Placerville,0,US,1600182918,42,38.73,-120.8,64.99,4.14
Chiredzi,0,ZW,1600183200,12,-21.05,31.67,93.6,9.78
Sur,59,OM,1600183200,66,22.57,59.53,83.26,1.68
Noumea,25,NC,1600183201,67,-22.28,166.46,62.6,2.24
Mahibadhoo,100,MV,1600183201,77,3.78,72.97,82.58,8.95
Ilhabela,95,BR,1600183093,79,-23.78,-45.36,68.95,5.7
Ulladulla,0,AU,1600183201,100,-35.35,150.47,52.0,3.98
Luganville,99,VU,1600183202,81,-15.53,167.17,76.24,14.41
Khelyulya,33,RU,1600183202,67,61.73,30.68,55.54,6.62
Oktyabr'skiy,37,RU,1600183202,79,54.48,53.47,49.12,9.06
Solnechnyy,97,RU,1600183203,87,50.72,136.63,54.79,4.52
Leshukonskoye,93,RU,1600183203,90,64.9,45.76,46.94,7.78
Rio Grande,100,BR,1600183203,62,-32.03,-52.1,58.62,12.06
Ugoofaaru,64,MV,1600183203,79,5.67,73.0,82.78,10.11
Tiznit Province,74,MA,1600182982,15,29.58,-9.5,90.86,7.25
Fukuechō,100,JP,1600183204,73,32.69,128.84,76.55,4.74
Loei,45,TH,1600183204,100,17.42,101.5,66.99,3.38
Klamath Falls,1,US,1600182940,65,42.22,-121.78,51.01,3.36
Ayagoz,66,KZ,1600183204,47,47.97,80.44,62.38,15.82
Torbay,75,CA,1600183026,58,47.67,-52.73,59.0,20.8
Alyangula,51,AU,1600183205,88,-13.85,136.42,69.8,9.44
Namatanai,99,PG,1600183205,82,-3.67,152.43,79.84,9.1
Yulin,65,CN,1600183205,85,22.63,110.15,78.87,2.73
Iqaluit,40,CA,1600183191,60,63.75,-68.51,42.8,20.8
Hīt,0,IQ,1600183205,11,33.64,42.83,102.94,12.57
Nome,90,US,1600183206,93,64.5,-165.41,51.01,18.34
Bud,1,US,1600183206,72,39.45,-86.18,63.0,3.36
Morondava,0,MG,1600183206,80,-20.28,44.28,77.4,10.94
Celestún,86,MX,1600183206,73,20.87,-90.4,83.91,8.32
Kirkwall,40,GB,1600183207,93,58.98,-2.96,59.0,5.82
Cleveland,1,US,1600183207,51,41.5,-81.7,63.0,10.29
Imbituba,92,BR,1600183207,52,-28.24,-48.67,64.4,5.82
Broome,20,US,1600183208,66,42.25,-75.83,55.0,3.36
Puerto Escondido,90,MX,1600183208,83,15.85,-97.07,77.0,5.82
Ixtapa,90,MX,1600183208,83,20.7,-105.2,82.99,5.82
Haukipudas,9,FI,1600183208,76,65.18,25.35,53.6,6.93
Morwell,46,AU,1600183209,93,-38.23,146.4,41.0,0.89
Saint Anthony,1,US,1600183209,64,45.02,-93.22,70.0,13.87
Sémbé,54,CG,1600183209,65,1.65,14.58,84.25,2.01
La Ronge,90,CA,1600183209,93,55.1,-105.28,44.6,4.7
Batagay-Alyta,95,RU,1600183210,80,67.8,130.41,40.6,5.17
Carutapera,77,BR,1600183210,55,-1.2,-46.02,88.47,10.94
Aksarka,100,RU,1600183210,89,66.56,67.8,48.43,2.75
Black River,20,JM,1600183210,74,18.03,-77.85,87.8,14.99
Conceição do Araguaia,28,BR,1600183211,18,-8.26,-49.26,101.86,8.88
Evensk,100,RU,1600183211,76,61.95,159.23,43.0,3.06
Balkhash,100,KZ,1600183211,42,46.84,74.98,69.57,13.29
Yeniseysk,98,RU,1600183211,87,58.45,92.17,52.43,5.73
Galesong,20,ID,1600183212,65,-5.32,119.37,77.0,4.7
Marapanim,7,BR,1600183212,47,-0.72,-47.7,92.32,7.36
Troitsko-Pechorsk,100,RU,1600183212,92,62.71,56.2,48.79,3.33
North Bend,90,US,1600183012,93,43.41,-124.22,59.0,3.36
Flin Flon,90,CA,1600183171,87,54.77,-101.86,46.4,6.93
Chulym,0,RU,1600183213,76,55.1,80.96,53.74,9.28
Boguchany,78,RU,1600183213,70,58.38,97.45,51.69,3.56
Acapulco de Juárez,90,MX,1600183213,94,16.86,-99.89,80.6,8.05
Paamiut,99,GL,1600183214,68,61.99,-49.67,46.94,38.77
Dongling,20,CN,1600183214,68,41.81,123.58,69.8,6.71
Kodinsk,87,RU,1600183214,74,58.69,99.18,50.23,4.5
Verkhoyansk,23,RU,1600183214,84,67.54,133.38,40.01,2.73
Yerofey Pavlovich,37,RU,1600183215,78,53.97,121.97,45.9,3.31
Bac Lieu,84,VN,1600183215,82,9.29,105.72,80.42,9.64
Faanui,0,PF,1600183215,80,-16.48,-151.75,77.59,15.23
Steamboat Springs,1,US,1600183215,52,40.48,-106.83,53.01,2.13
Mandera,0,KE,1600183216,36,3.94,41.87,90.64,14.12
Semme,59,FR,1600183216,37,46.2,1.5,84.2,8.05
Boli,100,CN,1600183216,88,45.77,130.52,54.57,3.85
Musoma,20,TZ,1600183216,54,-1.5,33.8,78.8,11.41
Meaford,28,CA,1600183217,61,44.6,-80.58,57.0,3.0
Teya,71,RU,1600183217,88,60.38,92.63,48.72,2.98
Rājbirāj,100,NP,1600183217,86,26.53,86.75,80.53,5.86
Port Moresby,40,PG,1600183217,94,-9.44,147.18,77.0,11.41
Ibaiti,16,BR,1600183218,75,-23.85,-50.19,70.0,7.0
Sumbe,29,AO,1600183218,76,-11.21,13.84,75.2,8.05
Ruwi,25,OM,1600183218,59,23.6,58.55,91.4,4.7
Dunedin,39,NZ,1600183219,75,-45.87,170.5,43.0,8.01
Codrington,100,AU,1600183219,94,-38.27,141.97,43.95,5.53
Pringsewu,6,ID,1600183219,91,-5.36,104.97,73.8,4.41
Srednekolymsk,92,RU,1600183219,88,67.45,153.68,41.63,7.63
Buenos Aires,0,AR,1600182829,66,-34.61,-58.38,59.0,11.41
Kavieng,81,PG,1600183220,75,-2.57,150.8,82.74,11.56
Nanortalik,100,GL,1600183220,79,60.14,-45.24,43.56,20.56
Berezovyy,100,RU,1600183220,83,51.67,135.7,57.76,4.36
Lorvão,64,PT,1600183220,42,40.26,-8.32,87.01,8.72
Cidreira,84,BR,1600183221,64,-30.18,-50.21,59.5,18.37
Shetpe,0,KZ,1600183221,31,44.17,52.12,65.43,11.81
Aswān,0,EG,1600183221,11,24.09,32.91,105.26,10.85
Pecos,1,US,1600183221,77,31.42,-103.49,68.0,5.12
Aras,20,ES,1600183222,33,42.56,-2.36,87.8,2.24
Lebu,96,CL,1600183222,82,-37.62,-73.65,53.06,12.62
Whitecourt,75,CA,1600183222,100,54.15,-115.69,42.8,8.05
Igunga,89,TZ,1600183222,21,-4.28,33.88,87.91,7.05
Romitan,0,UZ,1600183223,29,39.93,64.38,77.0,5.88
Pujehun,93,SL,1600183223,91,7.36,-11.72,78.03,6.6
Şelimbăr,0,RO,1600183167,39,45.77,24.2,81.0,8.05
Mwanza,20,TZ,1600183223,61,-2.52,32.9,78.8,6.93
Paraíso,96,CR,1600183223,69,9.84,-83.87,77.0,6.93
Adrar,7,MR,1600183224,11,20.5,-10.07,107.28,6.73
Niamey,20,NE,1600183224,41,13.51,2.11,96.8,10.29
Lethem,54,GY,1600183224,67,3.38,-59.8,84.65,6.8
Ahipara,88,NZ,1600183224,75,-35.17,173.17,56.3,11.77
Acarí,67,PE,1600183224,48,-15.43,-74.62,70.99,7.4
Clyde River,90,CA,1600183225,80,70.47,-68.59,35.6,5.82
Río Gallegos,20,AR,1600183225,48,-51.62,-69.22,42.8,24.16
Altamira,75,BR,1600183225,70,-3.2,-52.21,86.0,4.7
Nokaneng,0,BW,1600183225,10,-19.67,22.27,93.76,2.17
Buraidah,1,SA,1600183226,14,26.33,43.98,100.4,12.75
Narsaq,75,GL,1600183226,37,60.92,-46.05,50.0,21.92
Mumford,38,GH,1600183226,82,5.26,-0.76,77.77,16.55
Rajaori,0,IN,1600183226,48,33.38,74.3,73.92,5.97
Tinaquillo,1,VE,1600183227,61,9.92,-68.3,86.09,2.66
Bend,90,US,1600183016,57,44.06,-121.32,57.0,3.36
Benjamin Constant,75,BR,1600183227,88,-4.38,-70.03,77.0,2.24
Jiaojiang,81,CN,1600183227,97,28.68,121.44,77.0,2.77
La Orilla,80,MX,1600183227,79,17.98,-102.23,81.77,3.85
Chapais,75,CA,1600183064,66,49.78,-74.85,48.2,11.41
Grootfontein,0,NA,1600183228,11,-19.57,18.12,88.59,13.76
Saquarema,20,BR,1600183228,78,-22.92,-42.51,77.0,14.99
Vallenar,43,CL,1600183228,49,-28.57,-70.76,65.08,5.12
Solano,1,US,1600183228,93,38.23,-121.95,62.01,13.87
Sidrolândia,0,BR,1600183229,15,-20.93,-54.96,93.2,13.87
Watsa,46,CD,1600183229,93,3.04,29.54,74.55,2.33
Padang,75,ID,1600183011,77,-0.95,100.35,79.43,3.47
Nouadhibou,20,MR,1600183229,52,20.93,-17.03,91.4,8.05
Salcedo,100,PH,1600183229,90,12.81,121.47,78.58,9.8
Kyra,100,RU,1600183230,85,49.58,111.98,44.44,5.55
